9000,0
9001,2
9002,0
9003,3
9004,0
9005,0
9006,1
9007,1
9008,1
9009,2
9010,2
9011,1
9012,1
9013,0
9014,2
9015,2
9016,1
9017,3
9018,2
9019,1
9020,3
9021,1
9022,0
9023,1
9024,1
9025,1
9026,1
9027,0
9028,2
9029,3
9030,0
9031,0
9032,3
9033,2
9034,3
9035,0
9036,2
9037,0
9038,0
9039,3
9040,2
9041,3
9042,1
9043,0
9044,0
9045,1
9046,3
9047,2
9048,0
9049,2
9050,3
9051,3
9052,2
9053,0
9054,0
9055,3
9056,1
9057,1
9058,0
9059,0
9060,2
9061,0
9062,2
9063,0
9064,2
9065,2
9066,2
9067,0
9068,3
9069,0
9070,0
9071,2
9072,0
9073,1
9074,0
9075,1
9076,3
9077,1
9078,1
9079,2
9080,2
9081,2
9082,0
9083,1
9084,2
9085,0
9086,1
9087,2
9088,2
9089,2
9090,1
9091,3
9092,0
9093,0
9094,0
9095,0
9096,1
9097,0
9098,1
9099,3
9100,0
9101,3
9102,3
9103,1
9104,2
9105,0
9106,0
9107,2
9108,2
9109,1
9110,2
9111,3
9112,3
9113,2
9114,0
9115,0
9116,3
9117,0
9118,3
9119,2
9120,2
9121,2
9122,0
9123,1
9124,0
9125,2
9126,1
9127,1
9128,3
9129,0
9130,2
9131,2
9132,2
9133,3
9134,1
9135,0
9136,3
9137,0
9138,2
9139,1
9140,2
9141,0
9142,2
9143,3
9144,0
9145,1
9146,2
9147,2
9148,0
9149,2
9150,1
9151,3
9152,2
9153,0
9154,1
9155,3
9156,2
9157,2
9158,3
9159,3
9160,1
9161,3
9162,2
9163,2
9164,0
9165,3
9166,3
9167,3
9168,2
9169,0
9170,0
9171,0
9172,2
9173,0
9174,3
9175,2
9176,1
9177,3
9178,1
9179,3
9180,1
9181,2
9182,1
9183,0
9184,0
9185,2
9186,3
9187,1
9188,0
9189,3
9190,2
9191,1
9192,3
9193,3
9194,0
9195,1
9196,3
9197,1
9198,2
9199,2
9200,1
9201,3
9202,0
9203,1
9204,0
9205,3
9206,3
9207,2
9208,3
9209,2
9210,3
9211,2
9212,3
9213,0
9214,1
9215,2
9216,3
9217,3
9218,0
9219,1
9220,2
9221,3
9222,3
9223,0
9224,3
9225,3
9226,0
9227,0
9228,0
9229,2
9230,2
9231,0
9232,2
9233,0
9234,2
9235,2
9236,1
9237,1
9238,0
9239,2
9240,2
9241,2
9242,0
9243,0
9244,2
9245,3
9246,2
9247,2
9248,1
9249,1
9250,3
9251,0
9252,2
9253,3
9254,2
9255,3
9256,0
9257,2
9258,0
9259,3
9260,3
9261,2
9262,2
9263,0
9264,1
9265,0
9266,3
9267,2
9268,0
9269,2
9270,1
9271,2
9272,0
9273,3
9274,1
9275,2
9276,2
9277,0
9278,2
9279,2
9280,0
9281,1
9282,2
9283,2
9284,2
9285,3
9286,2
9287,0
9288,2
9289,0
9290,1
9291,3
9292,1
9293,3
9294,1
9295,2
9296,1
9297,3
9298,2
9299,1
9300,0
9301,1
9302,3
9303,0
9304,3
9305,0
9306,3
9307,2
9308,2
9309,1
9310,1
9311,3
9312,2
9313,3
9314,0
9315,1
9316,3
9317,1
9318,1
9319,2
9320,0
9321,1
9322,3
9323,3
9324,2
9325,0
9326,1
9327,2
9328,1
9329,3
9330,3
9331,2
9332,1
9333,0
9334,1
9335,2
9336,3
9337,2
9338,3
9339,1
9340,3
9341,3
9342,3
9343,2
9344,2
9345,3
9346,1
9347,3
9348,1
9349,2
9350,0
9351,0
9352,1
9353,0
9354,2
9355,3
9356,3
9357,2
9358,1
9359,1
9360,3
9361,3
9362,2
9363,3
9364,3
9365,0
9366,2
9367,3
9368,3
9369,0
9370,2
9371,0
9372,3
9373,3
9374,1
9375,2
9376,3
9377,3
9378,3
9379,1
9380,1
9381,3
9382,1
9383,1
9384,3
9385,0
9386,3
9387,2
9388,0
9389,1
